account_rewards,date
3219.816047668457,2019-07-12
1426.5833892822266,2019-07-15
-6455.406959533691,2019-07-16
2285.720474243164,2019-07-17
-9316.028076171875,2019-07-18
2136.5206985473633,2019-07-19
-759.1650085449219,2019-07-22
1672.0600051879883,2019-07-23
-5147.614570617676,2019-07-24
7200.268341064453,2019-07-25
4670.153129577637,2019-07-26
7062.831283569336,2019-07-29
-20606.685134887695,2019-07-30
-4514.517623901367,2019-07-31
-6294.459526062012,2019-08-01
-38699.62846374512,2019-08-02
10573.137557983398,2019-08-05
3918.592514038086,2019-08-06
17208.60368347168,2019-08-07
-5081.699935913086,2019-08-08
-17152.73087310791,2019-08-09
18198.27059173584,2019-08-12
-35983.832023620605,2019-08-13
7706.676651000977,2019-08-14
16859.34815979004,2019-08-15
9194.90291595459,2019-08-16
-12935.798767089844,2019-08-19
5842.707778930664,2019-08-20
-4663.511329650879,2019-08-21
-28919.08526611328,2019-08-22
12978.282348632812,2019-08-23
-2862.570114135742,2019-08-26
9298.722328186035,2019-08-27
11035.609855651855,2019-08-28
3089.887405395508,2019-08-29
-7379.384170532227,2019-08-30
12783.225372314453,2019-09-03
15845.62622833252,2019-09-04
2496.0077056884766,2019-09-05
754.5476379394531,2019-09-06
-4550.679084777832,2019-09-09
1972.054832458496,2019-09-10
5116.496353149414,2019-09-11
375.4011993408203,2019-09-12
-8397.149169921875,2019-09-13
511.1379165649414,2019-09-16
-3884.6399002075195,2019-09-17
3039.266403198242,2019-09-18
-2386.3408737182617,2019-09-19
-136.4306640625,2019-09-20
-6226.157913208008,2019-09-23
-560.451171875,2019-09-24
-2722.958221435547,2019-09-25
-1692.9335708618164,2019-09-26
3087.586166381836,2019-09-27
-13194.418281555176,2019-09-30
-24100.488082885742,2019-10-01
2320.209197998047,2019-10-02
17974.659744262695,2019-10-03
-9040.01163482666,2019-10-04
-18267.864875793457,2019-10-07
9229.373519897461,2019-10-08
6067.025497436523,2019-10-09
10519.28377532959,2019-10-10
-939.2505416870117,2019-10-11
12810.726600646973,2019-10-14
-3953.191604614258,2019-10-15
-776.2352828979492,2019-10-16
-466.37352752685547,2019-10-17
5337.900291442871,2019-10-18
-4783.492317199707,2019-10-21
3779.1443099975586,2019-10-22
-2611.897689819336,2019-10-23
5134.885780334473,2019-10-24
6341.988105773926,2019-10-25
-482.6661834716797,2019-10-28
6352.924743652344,2019-10-29
-7513.798538208008,2019-10-30
11366.991683959961,2019-10-31
-123.50422668457031,2019-11-01
504.5812225341797,2019-11-04
480.2831268310547,2019-11-05
6455.300010681152,2019-11-06
1666.2240905761719,2019-11-07
-2633.4834518432617,2019-11-08
2823.7323150634766,2019-11-11
4134.558059692383,2019-11-12
537.1783142089844,2019-11-13
10571.997146606445,2019-11-14
3930.477607727051,2019-11-15
2985.7464294433594,2019-11-18
-2481.4369888305664,2019-11-19
-7078.422691345215,2019-11-20
3473.4861373901367,2019-11-21
10293.803527832031,2019-11-22
3331.5946197509766,2019-11-25
1630.8464279174805,2019-11-26
-1560.2449188232422,2019-11-27
-7066.2414474487305,2019-11-29
-7518.984550476074,2019-12-02
6807.823272705078,2019-12-03
-1004.2347869873047,2019-12-04
9403.254859924316,2019-12-05
-797.7574844360352,2019-12-06
-2814.6713333129883,2019-12-09
